,Test,Die,VDD (V),,Freq (GHz),Comp. level (dB),Pin_comp(dBm),Pout_comp (dBm),Linear Gain,Id (mA),,,,,,,,,,,,,,,,
693862,PDB2,AD25,5,#,0.5,3,4.75,18.23,16.48,68.375,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD25,5,#,2,3,3.47,17.38,16.9,68.093,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD25,5,#,6,3,3.77,17.46,16.69,67.57,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD25,5,#,8,3,3.47,17.47,16.99,63.987,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD25,5,#,12,3,-0.28,15.46,18.74,61.405,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD26,5,#,0.5,1,0.92,16.37,16.45,64.717,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD26,5,#,2,1,-0.35,15.56,16.92,63.483,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD26,5,#,6,1,-0.12,15.56,16.69,63.31,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD26,5,#,8,1,-0.76,15.21,16.97,61.448,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD26,5,#,12,1,-4.96,12.76,18.73,59.757,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD26,5,#,0.5,3,4.69,18.15,16.45,68.072,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD26,5,#,2,3,3.39,17.31,16.92,67.769,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD26,5,#,6,3,3.71,17.4,16.69,67.329,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD26,5,#,8,3,3.43,17.41,16.97,63.871,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD26,5,#,12,3,-0.36,15.36,18.73,61.39,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD27,5,#,0.5,1,0.78,16.21,16.42,64.332,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD27,5,#,2,1,-0.39,15.47,16.86,63.23,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD27,5,#,6,1,-0.25,15.43,16.69,63.013,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD27,5,#,8,1,-0.87,15.09,16.97,61.276,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD27,5,#,12,1,-5.04,12.62,18.66,59.672,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD27,5,#,0.5,3,4.61,18.03,16.42,67.589,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD27,5,#,2,3,3.35,17.22,16.86,67.307,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD27,5,#,6,3,3.64,17.33,16.69,66.895,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD27,5,#,8,3,3.35,17.32,16.97,63.536,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD27,5,#,12,3,-0.4,15.26,18.66,61.112,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD28,5,#,0.5,1,0.99,16.31,16.31,64.775,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD28,5,#,2,1,-0.25,15.55,16.8,63.398,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD28,5,#,6,1,-0.03,15.52,16.56,63.227,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD28,5,#,8,1,-0.65,15.22,16.88,61.363,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
