,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain,Id
1720,0.5,1,1.04,16.53,16.48,65.574
1730,0.5,1,1.07,16.53,16.46,65.21600000000001
1740,0.5,1,1.0,16.4,16.39,65.26899999999999
1750,0.5,1,0.97,16.34,16.37,64.85300000000001
1760,0.5,1,0.89,16.23,16.33,64.304
1770,0.5,1,0.77,16.11,16.34,64.83
1780,0.5,1,0.82,16.15,16.33,64.734
1790,0.5,1,0.82,16.16,16.34,64.518
1800,0.5,1,1.04,16.34,16.29,65.314
1810,0.5,1,1.13,16.4,16.27,65.072
1820,0.5,1,1.2,16.44,16.24,65.366
1830,0.5,1,1.01,16.35,16.34,64.993
1840,0.5,1,1.02,16.37,16.35,65.123
1850,0.5,1,0.96,16.29,16.33,64.83800000000001
1860,0.5,1,1.04,16.38,16.34,65.414
1870,0.5,1,0.96,16.37,16.4,65.324
1880,0.5,1,0.82,16.17,16.35,64.493
1890,0.5,1,1.19,16.62,16.42,65.875
1900,0.5,1,1.17,16.64,16.46,66.426
1910,0.5,1,1.11,16.61,16.49,66.285
1920,0.5,1,1.18,16.66,16.47,66.16
1930,0.5,1,1.15,16.68,16.52,66.411
1940,0.5,1,1.22,16.72,16.49,66.324
1950,0.5,1,1.55,17.04,16.49,67.15899999999999
1960,0.5,1,1.48,16.99,16.5,66.964
1970,0.5,1,1.32,16.9,16.57,66.594
