,Test,Die,VDD (V),,,,Id (mA),,Freq (GHz),Pin (dBm),,Pin (dBm),,Pout (dBm),Gain (dB),,,,,,,,,,,
693862,POW1,AD15,5,#,#,#,59.08,#,8,-6,#,-5.997,#,11.116,17.116,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,59.59,#,12,-6,#,-6.000312,#,12.148,18.148,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,59.88,#,0.5,-5,#,-4.96475,#,11.623,16.623,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,59.65,#,2,-5,#,-5.011687,#,11.924,16.924,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,59.56,#,6,-5,#,-5.059563,#,11.658,16.658,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,59.44,#,8,-5,#,-5.011,#,12.028,17.028,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,59.85,#,12,-5,#,-4.992312,#,12.92,17.92,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,60.43,#,0.5,-4,#,-3.98375,#,12.538,16.538,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,60.25,#,2,-4,#,-4.019687,#,12.839,16.839,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,60.11,#,6,-4,#,-4.019563,#,12.595,16.595,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,59.82,#,8,-4,#,-4.01,#,12.827,16.827,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,60.2,#,12,-4,#,-3.992312,#,13.51,17.51,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,61.1,#,0.5,-3,#,-2.98875,#,13.446,16.446,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,60.99,#,2,-3,#,-3.018687,#,13.705,16.705,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,60.66,#,6,-3,#,-3.041563,#,13.394,16.394,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,60.24,#,8,-3,#,-2.991,#,13.66,16.66,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,60.55,#,12,-3,#,-2.977312,#,13.969,16.969,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,61.85,#,0.5,-2,#,-2.00075,#,14.3,16.3,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,61.78,#,2,-2,#,-2.029687,#,14.507,16.507,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,61.36,#,6,-2,#,-2.041563,#,14.204,16.204,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,60.71,#,8,-2,#,-1.985,#,14.411,16.411,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,61.1,#,12,-2,#,-1.982312,#,14.637,16.637,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,62.73,#,0.5,-1,#,-0.98475,#,15.128,16.128,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,62.79,#,2,-1,#,-0.999687,#,15.271,16.271,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,62.27,#,6,-1,#,-0.987563,#,14.999,15.999,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,61.23,#,8,-1,#,-0.971,#,15.163,16.163,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,61.84,#,12,-1,#,-0.971312,#,15.209,16.209,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,63.81,#,0.5,0,#,0.01025,#,15.916,15.916,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,63.96,#,2,0,#,0.000313,#,15.967,15.967,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,63.35,#,6,0,#,0.016437,#,15.702,15.702,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,61.81,#,8,0,#,0.068,#,15.85,15.85,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,62.82,#,12,0,#,0.035688,#,15.767,15.767,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,65.01,#,0.5,1,#,1.01825,#,16.648,15.648,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,65.36,#,2,1,#,0.998313,#,16.594,15.594,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,64.64,#,6,1,#,1.030437,#,16.347,15.347,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,62.17,#,8,1,#,1.094,#,16.413,15.413,#,#,#,#,#,#,#,#,#,#,#
693862,POW1,AD15,5,#,#,#,63.83,#,12,1,#,1.030688,#,16.295,15.295,#,#,#,#,#,#,#,#,#,#,#
