,Id1,Id2,Freq,Pin,Pout,Gain
15523,37.39,82.84,15,-13,9.421,22.421
15603,40.73,90.28,15,-13,9.538,22.538
15683,40.52,88.62,15,-13,9.544,22.544
15763,41.62,88.54,15,-13,9.644,22.644000000000002
15843,40.2,88.3,15,-13,9.525,22.525
15923,40.91,87.07,15,-13,9.595,22.595
16003,39.64,86.95,15,-13,9.521,22.521
16083,40.69,87.18,15,-13,9.576,22.576
16163,39.41,86.71,15,-13,9.461,22.461
16243,39.6,86.18,15,-13,9.497,22.497
16323,40.52,86.46,15,-13,9.441,22.441
16403,39.62,86.53,15,-13,9.366,22.366
16483,40.53,86.91,15,-13,9.477,22.476999999999997
16563,39.88,87.21,15,-13,9.464,22.464000000000002
16643,40.52,87.47,15,-13,9.54,22.54
16723,39.6,87.46,15,-13,9.462,22.462
16803,40.09,87.55,15,-13,9.515,22.515
16883,40.63,87.77,15,-13,9.515,22.515
16963,39.94,87.4,15,-13,9.342,22.342
17043,40.39,87.69,15,-13,9.36,22.36
17123,40.16,87.43,15,-13,9.475,22.475
17203,40.68,88.13,15,-13,9.527000000000001,22.526999999999997
17283,40.49,88.8,15,-13,9.562999999999999,22.563000000000002
17363,40.41,87.61,15,-13,9.468,22.468000000000004
17443,40.63,87.57,15,-13,9.559,22.559
17523,39.93,87.54,15,-13,9.497,22.497
17603,40.08,86.29,15,-13,9.628,22.628
17683,39.23,86.37,15,-13,9.576,22.576
17763,39.26,84.83,15,-13,9.595,22.595
17843,38.48,84.37,15,-13,9.692,22.691999999999997
17923,39.09,84.58,15,-13,9.702,22.701999999999998
18003,39.82,85.49,15,-13,9.818,22.818
18083,38.85,85.45,15,-13,9.71,22.71
18163,39.26,84.48,15,-13,9.798,22.798000000000002
18243,37.91,84.61,15,-13,9.652000000000001,22.651999999999997
18323,38.87,83.85,15,-13,9.801,22.801
18403,37.45,83.01,15,-13,9.592,22.592
18483,36.21,80.49,15,-13,9.562999999999999,22.563000000000002
18563,43.2,93.36,15,-13,9.599,22.599
18643,42.14,93.32,15,-13,9.587,22.587
18723,42.14,90.85,15,-13,9.53,22.53
