,RK,NAME,POS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,GAME LOG PAGE
33,354,Anthony Tolliver,PF,MIN,65,16.6,-1.61,-0.43,-2.04,0.74,http://www.espn.com/nba/player/gamelog/_/id/3276/anthony-tolliver
34,355,Mike Scott,PF,LAC/PHI,79,17.7,-1.50,-0.55,-2.05,1.00,http://www.espn.com/nba/player/gamelog/_/id/6622/mike-scott
35,356,Jerian Grant,PG,ORL,60,15.7,-1.81,-0.24,-2.05,0.64,http://www.espn.com/nba/player/gamelog/_/id/2531047/jerian-grant
36,357,Jaron Blossomgame,SF,CLE,27,16.3,-2.41,0.36,-2.05,0.30,http://www.espn.com/nba/player/gamelog/_/id/2982240/jaron-blossomgame
37,358,JaVale McGee,C,LAL,75,22.3,-2.26,0.20,-2.06,1.17,http://www.espn.com/nba/player/gamelog/_/id/3452/javale-mcgee
38,359,Tyler Dorsey,SG,ATL/MEM,48,14.5,-1.05,-1.01,-2.06,0.48,http://www.espn.com/nba/player/gamelog/_/id/3915560/tyler-dorsey
39,360,Zhaire Smith,SG,PHI,6,18.5,-1.47,-0.60,-2.07,0.07,http://www.espn.com/nba/player/gamelog/_/id/4277923/zhaire-smith
0,361,Trevon Duval,PG,MIL,3,2.0,-1.47,-0.61,-2.08,0.00,http://www.espn.com/nba/player/gamelog/_/id/4277842/trevon-duval
1,362,Kent Bazemore,SG,ATL,67,24.5,-2.22,0.12,-2.10,1.12,http://www.espn.com/nba/player/gamelog/_/id/6637/kent-bazemore
2,363,Alex Poythress,SF,ATL,21,14.5,-1.49,-0.63,-2.12,0.14,http://www.espn.com/nba/player/gamelog/_/id/2991283/alex-poythress
3,364,Dante Exum,PG,UTAH,42,15.8,-1.86,-0.27,-2.13,0.43,http://www.espn.com/nba/player/gamelog/_/id/3102528/dante-exum
4,365,Melvin Frazier Jr.,SG,ORL,10,4.4,-2.45,0.32,-2.13,0.03,http://www.espn.com/nba/player/gamelog/_/id/3913546/melvin-frazier-jr.
5,366,Dwyane Wade,SG,MIA,72,26.2,-0.13,-2.01,-2.14,1.17,http://www.espn.com/nba/player/gamelog/_/id/1987/dwyane-wade
6,367,Tyler Ulis,G,CHI,1,1.0,-1.07,-1.07,-2.14,0.00,http://www.espn.com/nba/player/gamelog/_/id/3136194/tyler-ulis
7,368,Chris Chiozza,PG,HOU,7,4.7,-1.64,-0.50,-2.14,0.02,http://www.espn.com/nba/player/gamelog/_/id/3137795/chris-chiozza
8,369,Moritz Wagner,C,LAL,43,10.4,-3.10,0.94,-2.16,0.25,http://www.espn.com/nba/player/gamelog/_/id/3150844/moritz-wagner
9,370,James Nunnally,G,HOU/MIN,15,6.8,-1.29,-0.89,-2.18,0.05,http://www.espn.com/nba/player/gamelog/_/id/2326411/james-nunnally
10,371,Duncan Robinson,SF,MIA,15,10.7,-2.26,0.08,-2.18,0.09,http://www.espn.com/nba/player/gamelog/_/id/3157465/duncan-robinson
11,372,Troy Daniels,SG,PHX,51,14.9,-0.97,-1.22,-2.19,0.45,http://www.espn.com/nba/player/gamelog/_/id/2489530/troy-daniels
12,373,Ben McLemore,G,SAC,19,8.3,-1.43,-0.78,-2.21,0.10,http://www.espn.com/nba/player/gamelog/_/id/2578213/ben-mclemore
13,374,Justin Anderson,SG,ATL,48,9.6,-2.10,-0.11,-2.21,0.28,http://www.espn.com/nba/player/gamelog/_/id/2982340/justin-anderson
14,375,Wilson Chandler,SF,LAC/PHI,51,23.1,-1.38,-0.84,-2.22,0.68,http://www.espn.com/nba/player/gamelog/_/id/3194/wilson-chandler
15,376,Brandon Goodwin,PG,DEN,16,3.6,-1.69,-0.53,-2.22,0.03,http://www.espn.com/nba/player/gamelog/_/id/3057198/brandon-goodwin
16,377,Robert Williams III,C,BOS,32,8.8,-2.62,0.40,-2.22,0.11,http://www.espn.com/nba/player/gamelog/_/id/4066211/robert-williams-iii
17,378,C.J. Williams,SG,MIN,15,8.5,-1.92,-0.32,-2.24,0.07,http://www.espn.com/nba/player/gamelog/_/id/2325499/c.j.-williams
18,379,Treveon Graham,SG,BKN,35,20.4,-2.54,0.30,-2.24,0.43,http://www.espn.com/nba/player/gamelog/_/id/2595231/treveon-graham
19,380,Georges Niang,SF,UTAH,59,8.7,-0.66,-1.58,-2.24,0.30,http://www.espn.com/nba/player/gamelog/_/id/2990969/georges-niang
20,381,Ivan Rabb,PF,MEM,49,14.7,-1.61,-0.63,-2.24,0.40,http://www.espn.com/nba/player/gamelog/_/id/3917378/ivan-rabb
21,382,Carmelo Anthony,F,HOU,10,29.4,-2.51,0.24,-2.27,0.16,http://www.espn.com/nba/player/gamelog/_/id/1975/carmelo-anthony
22,383,Stanley Johnson,SF,NO/DET,66,18.3,-4.02,1.74,-2.28,0.64,http://www.espn.com/nba/player/gamelog/_/id/3134881/stanley-johnson
23,384,Tony Parker,PG,CHA,56,17.9,-1.21,-1.08,-2.29,0.54,http://www.espn.com/nba/player/gamelog/_/id/1015/tony-parker
24,385,Ryan Anderson,PF,MIA/PHX,25,12.9,-3.57,1.28,-2.29,0.17,http://www.espn.com/nba/player/gamelog/_/id/3412/ryan-anderson
25,386,Rodney McGruder,SF,MIA,66,23.5,-1.70,-0.59,-2.29,0.82,http://www.espn.com/nba/player/gamelog/_/id/2488826/rodney-mcgruder
26,387,Troy Brown Jr.,SF,WSH,52,14.0,-1.56,-0.74,-2.30,0.07,http://www.espn.com/nba/player/gamelog/_/id/4278508/troy-brown-jr.
27,388,Justin Holiday,SF,CHI/MEM,82,31.8,-1.45,-0.86,-2.31,1.33,http://www.espn.com/nba/player/gamelog/_/id/2284101/justin-holiday
28,389,Bruce Brown,SG,DET,74,19.6,-3.36,1.00,-2.36,0.67,http://www.espn.com/nba/player/gamelog/_/id/4065670/bruce-brown
29,390,Reggie Bullock,SG,DET/LAL,63,29.8,-0.28,-2.10,-2.38,0.86,http://www.espn.com/nba/player/gamelog/_/id/2528779/reggie-bullock
30,391,Jon Leuer,PF,DET,41,9.8,-2.85,0.46,-2.39,0.18,http://www.espn.com/nba/player/gamelog/_/id/6452/jon-leuer
31,392,CJ Miles,SF,TOR/MEM,53,16.2,-1.91,-0.49,-2.40,0.41,http://www.espn.com/nba/player/gamelog/_/id/2778/cj-miles
32,393,Chandler Parsons,SF,MEM,25,19.8,-2.89,0.49,-2.40,0.22,http://www.espn.com/nba/player/gamelog/_/id/6466/chandler-parsons
33,394,Sam Dekker,SF,CLE/WSH,47,16.8,-1.59,-0.81,-2.40,0.35,http://www.espn.com/nba/player/gamelog/_/id/2991184/sam-dekker
34,395,Sterling Brown,SG,MIL,58,17.8,-1.59,-0.81,-2.40,0.48,http://www.espn.com/nba/player/gamelog/_/id/3057187/sterling-brown
35,396,Andrew Harrison,G,NO/CLE/MEM,17,11.0,-1.92,-0.48,-2.40,0.08,http://www.espn.com/nba/player/gamelog/_/id/3064511/andrew-harrison
36,397,Rondae Hollis-Jefferson,SF,BKN,59,20.9,-2.96,0.54,-2.42,0.55,http://www.espn.com/nba/player/gamelog/_/id/3064291/rondae-hollis-jefferson
37,398,Damyean Dotson,SG,NY,73,27.5,-0.59,-1.84,-2.43,0.87,http://www.espn.com/nba/player/gamelog/_/id/2991149/damyean-dotson
38,399,Yuta Watanabe,G,MEM,15,11.6,-2.86,0.43,-2.43,0.07,http://www.espn.com/nba/player/gamelog/_/id/3133838/yuta-watanabe
39,400,Haywood Highsmith,F,PHI,5,8.0,-2.12,-0.31,-2.43,0.01,http://www.espn.com/nba/player/gamelog/_/id/4291678/haywood-highsmith
0,401,Dillon Brooks,SG,MEM,18,18.3,-2.22,-0.25,-2.47,0.13,http://www.espn.com/nba/player/gamelog/_/id/3155526/dillon-brooks
1,402,Daryl Macon,SG,DAL,8,11.3,-1.81,-0.67,-2.48,0.04,http://www.espn.com/nba/player/gamelog/_/id/4066243/daryl-macon
2,403,Damion Lee,SG,GS,32,11.7,-1.75,-0.74,-2.49,0.15,http://www.espn.com/nba/player/gamelog/_/id/2595209/damion-lee
3,404,Sindarius Thornwell,SG,LAC,64,4.9,-2.92,0.41,-2.51,0.13,http://www.espn.com/nba/player/gamelog/_/id/3064539/sindarius-thornwell
4,405,Gary Clark,PF,HOU,51,12.6,-1.96,-0.56,-2.52,0.24,http://www.espn.com/nba/player/gamelog/_/id/3132042/gary-clark
5,406,James Ennis III,SF,HOU/PHI,58,21.2,-1.21,-1.32,-2.53,0.45,http://www.espn.com/nba/player/gamelog/_/id/2579321/james-ennis-iii
6,407,Markelle Fultz,PG,PHI,19,22.5,-2.74,0.20,-2.54,0.16,http://www.espn.com/nba/player/gamelog/_/id/4066636/markelle-fultz
7,408,Malik Monk,SG,CHA,73,17.2,-0.19,-2.36,-2.55,0.47,http://www.espn.com/nba/player/gamelog/_/id/4066262/malik-monk
8,409,Khyri Thomas,SG,DET,26,7.5,-2.33,-0.24,-2.57,0.07,http://www.espn.com/nba/player/gamelog/_/id/3912334/khyri-thomas
9,410,E'Twaun Moore,G,NO,53,27.6,-0.24,-2.35,-2.59,0.52,http://www.espn.com/nba/player/gamelog/_/id/6460/e'twaun-moore
10,411,Chasson Randle,PG,WSH,49,15.2,-0.96,-1.63,-2.59,0.24,http://www.espn.com/nba/player/gamelog/_/id/2580898/chasson-randle
11,412,Caleb Swanigan,PF,POR/SAC,21,8.5,-3.39,0.80,-2.59,0.05,http://www.espn.com/nba/player/gamelog/_/id/3906671/caleb-swanigan
12,413,Dirk Nowitzki,PF,DAL,51,15.6,-2.11,-0.49,-2.60,0.27,http://www.espn.com/nba/player/gamelog/_/id/609/dirk-nowitzki
13,414,Patrick McCaw,SG,CLE/TOR,29,13.7,-2.51,-0.09,-2.60,0.13,http://www.espn.com/nba/player/gamelog/_/id/3137730/patrick-mccaw
14,415,Evan Turner,SG,POR,73,22.0,-1.66,-0.96,-2.62,0.49,http://www.espn.com/nba/player/gamelog/_/id/4239/evan-turner
15,416,Jaylen Adams,PG,ATL,34,12.6,-1.66,-0.96,-2.62,0.13,http://www.espn.com/nba/player/gamelog/_/id/3133874/jaylen-adams
16,417,Allen Crabbe,SG,BKN,43,26.3,-2.28,-0.35,-2.63,0.35,http://www.espn.com/nba/player/gamelog/_/id/2531210/allen-crabbe
17,418,Willy Hernangomez,C,CHA,58,14.0,-0.58,-2.05,-2.63,0.26,http://www.espn.com/nba/player/gamelog/_/id/2999409/willy-hernangomez
18,419,Troy Williams,SF,SAC,21,14.9,-2.48,-0.15,-2.63,0.10,http://www.espn.com/nba/player/gamelog/_/id/3078286/troy-williams
19,420,Emmanuel Mudiay,PG,NY,59,27.2,-0.23,-2.40,-2.63,0.50,http://www.espn.com/nba/player/gamelog/_/id/3892818/emmanuel-mudiay
20,421,Malachi Richardson,G,TOR,22,4.7,-2.42,-0.21,-2.63,0.03,http://www.espn.com/nba/player/gamelog/_/id/3934663/malachi-richardson
21,422,Shaun Livingston,PG,GS,64,15.1,-2.55,-0.10,-2.65,0.29,http://www.espn.com/nba/player/gamelog/_/id/2393/shaun-livingston
22,423,Daniel Hamilton,G,ATL,19,10.7,-2.46,-0.19,-2.65,0.06,http://www.espn.com/nba/player/gamelog/_/id/3147351/daniel-hamilton
23,424,Shake Milton,SG,PHI,20,13.4,-1.81,-0.84,-2.65,0.08,http://www.espn.com/nba/player/gamelog/_/id/3915195/shake-milton
24,425,Harry Giles III,PF,SAC,58,14.1,-2.83,0.17,-2.66,0.26,http://www.espn.com/nba/player/gamelog/_/id/4065649/harry-giles-iii
25,426,Greg Monroe,C,BOS/PHI/TOR,43,11.2,-3.92,1.21,-2.71,0.11,http://www.espn.com/nba/player/gamelog/_/id/4260/greg-monroe
26,427,Isaiah Canaan,G,MIL/MIN/PHX,30,21.0,-1.40,-1.31,-2.71,0.12,http://www.espn.com/nba/player/gamelog/_/id/2490589/isaiah-canaan
27,428,Taurean Prince,SF,ATL,55,28.2,-0.57,-2.14,-2.71,0.44,http://www.espn.com/nba/player/gamelog/_/id/2990962/taurean-prince
28,429,Trae Young,PG,ATL,81,30.9,2.09,-4.80,-2.71,0.69,http://www.espn.com/nba/player/gamelog/_/id/4277905/trae-young
29,430,Bonzie Colson,PF,MIL,8,12.3,-2.10,-0.62,-2.72,0.03,http://www.espn.com/nba/player/gamelog/_/id/3138192/bonzie-colson
30,431,Deng Adel,SF,CLE,19,10.2,-2.76,0.04,-2.72,0.05,http://www.espn.com/nba/player/gamelog/_/id/3908807/deng-adel
31,432,Gary Trent Jr.,SG,POR,15,7.4,-2.59,-0.13,-2.72,0.02,http://www.espn.com/nba/player/gamelog/_/id/4277843/gary-trent-jr.
32,433,Kosta Koufos,C,SAC,42,12.0,-3.35,0.56,-2.79,0.11,http://www.espn.com/nba/player/gamelog/_/id/3444/kosta-koufos
33,434,Devin Harris,PG,DAL,68,15.8,-1.01,-1.79,-2.80,0.22,http://www.espn.com/nba/player/gamelog/_/id/2382/devin-harris
34,435,Bismack Biyombo,C,CHA,54,14.5,-3.14,0.34,-2.80,0.16,http://www.espn.com/nba/player/gamelog/_/id/6427/bismack-biyombo
35,436,Sviatoslav Mykhailiuk,SG,DET/LAL,42,10.5,-2.36,-0.44,-2.80,0.09,http://www.espn.com/nba/player/gamelog/_/id/3133602/sviatoslav-mykhailiuk
36,437,Chimezie Metu,PF,SA,29,5.0,-3.22,0.40,-2.82,0.03,http://www.espn.com/nba/player/gamelog/_/id/3914283/chimezie-metu
37,438,Jeremy Lin,PG,ATL/TOR,74,19.4,-1.64,-1.19,-2.83,0.29,http://www.espn.com/nba/player/gamelog/_/id/4299/jeremy-lin
38,439,Rawle Alkins,SG,CHI,10,12.0,-2.12,-0.71,-2.83,0.02,http://www.espn.com/nba/player/gamelog/_/id/4066334/rawle-alkins
39,440,Markieff Morris,PF,OKC/WSH,58,21.9,-1.52,-1.35,-2.87,0.14,http://www.espn.com/nba/player/gamelog/_/id/6461/markieff-morris
0,441,Tristan Thompson,C,CLE,43,27.9,-1.98,-0.89,-2.87,0.19,http://www.espn.com/nba/player/gamelog/_/id/6474/tristan-thompson
1,442,MarShon Brooks,G,MEM,29,13.3,-1.53,-1.35,-2.88,0.05,http://www.espn.com/nba/player/gamelog/_/id/6428/marshon-brooks
2,443,Jared Terrell,SG,MIN,14,7.9,-2.31,-0.58,-2.89,0.02,http://www.espn.com/nba/player/gamelog/_/id/3133843/jared-terrell
3,444,Lorenzo Brown,G,TOR,26,8.2,-2.68,-0.22,-2.90,0.03,http://www.espn.com/nba/player/gamelog/_/id/2528787/lorenzo-brown
4,445,Terrance Ferguson,SG,OKC,74,26.1,-1.05,-1.86,-2.91,0.27,http://www.espn.com/nba/player/gamelog/_/id/4230546/terrance-ferguson
5,446,Jordan Clarkson,PG,CLE,81,27.3,1.19,-4.12,-2.93,0.27,http://www.espn.com/nba/player/gamelog/_/id/2528426/jordan-clarkson
6,447,Isaiah Briscoe,PG,ORL,39,14.3,-3.16,0.22,-2.94,0.07,http://www.espn.com/nba/player/gamelog/_/id/3936294/isaiah-briscoe
7,448,Glenn Robinson III,SG,DET,47,13.0,-3.30,0.35,-2.95,0.07,http://www.espn.com/nba/player/gamelog/_/id/2991039/glenn-robinson-iii
8,449,Michael Carter-Williams,PG,HOU/ORL,28,13.3,-2.03,-1.01,-3.04,0.01,http://www.espn.com/nba/player/gamelog/_/id/2596108/michael-carter-williams
9,450,Alfonzo McKinnie,SF,GS,72,13.9,-1.90,-1.15,-3.05,0.05,http://www.espn.com/nba/player/gamelog/_/id/2530923/alfonzo-mckinnie
10,451,Anfernee Simons,SG,POR,20,7.1,-1.79,-1.26,-3.05,0.00,http://www.espn.com/nba/player/gamelog/_/id/4351851/anfernee-simons
11,452,Tyrone Wallace,SG,LAC,62,10.1,-3.41,0.34,-3.07,0.02,http://www.espn.com/nba/player/gamelog/_/id/3002137/tyrone-wallace
12,453,Isaiah Thomas,PG,DEN,12,15.1,-2.45,-0.65,-3.10,0.00,http://www.espn.com/nba/player/gamelog/_/id/6472/isaiah-thomas
13,454,Brandon Sampson,SG,CHI,14,15.3,-1.67,-1.46,-3.13,0.00,http://www.espn.com/nba/player/gamelog/_/id/3907385/brandon-sampson
14,455,Dante Cunningham,SF,SA,64,14.5,-2.45,-0.69,-3.14,-0.01,http://www.espn.com/nba/player/gamelog/_/id/3974/dante-cunningham
15,456,Shaquille Harrison,PG,CHI,73,19.6,-2.60,-0.54,-3.14,-0.01,http://www.espn.com/nba/player/gamelog/_/id/2991274/shaquille-harrison
16,457,Jawun Evans,PG,PHX/OKC,8,8.1,-2.32,-0.84,-3.16,0.00,http://www.espn.com/nba/player/gamelog/_/id/3912854/jawun-evans
17,458,Channing Frye,PF,CLE,36,9.5,-2.35,-0.84,-3.19,-0.01,http://www.espn.com/nba/player/gamelog/_/id/2754/channing-frye
18,459,Mario Hezonja,SF,NY,58,20.8,-2.62,-0.59,-3.21,-0.06,http://www.espn.com/nba/player/gamelog/_/id/2995706/mario-hezonja
19,460,Chandler Hutchison,SF,CHI,44,20.3,-3.38,0.16,-3.22,-0.05,http://www.espn.com/nba/player/gamelog/_/id/3149010/chandler-hutchison
20,461,De'Anthony Melton,PG,PHX,50,19.7,-2.80,-0.44,-3.24,-0.07,http://www.espn.com/nba/player/gamelog/_/id/4066436/de'anthony-melton
21,462,T.J. McConnell,PG,PHI,76,19.3,-0.87,-2.41,-3.28,-0.14,http://www.espn.com/nba/player/gamelog/_/id/2530530/t.j.-mcconnell
22,463,John Jenkins,SG,NY/WSH,26,12.8,-2.00,-1.29,-3.29,-0.03,http://www.espn.com/nba/player/gamelog/_/id/6594/john-jenkins
23,464,Jerome Robinson,SG,LAC,33,9.7,-1.68,-1.67,-3.35,-0.04,http://www.espn.com/nba/player/gamelog/_/id/3943606/jerome-robinson
24,465,Avery Bradley,SG,LAC/MEM,63,30.2,-2.11,-1.26,-3.37,-0.29,http://www.espn.com/nba/player/gamelog/_/id/4240/avery-bradley
25,466,Keita Bates-Diop,SF,MIN,30,16.8,-2.59,-0.80,-3.39,-0.08,http://www.espn.com/nba/player/gamelog/_/id/3136779/keita-bates-diop
26,467,Jordan Bell,PF,GS,68,11.6,-3.24,-0.17,-3.41,-0.14,http://www.espn.com/nba/player/gamelog/_/id/3064427/jordan-bell
27,468,Jevon Carter,PG,MEM,39,14.8,-2.94,-0.48,-3.42,-0.11,http://www.espn.com/nba/player/gamelog/_/id/3133635/jevon-carter
28,469,Alec Burks,SG,CLE/SAC/UTAH,64,21.5,-1.43,-2.02,-3.45,-0.29,http://www.espn.com/nba/player/gamelog/_/id/6429/alec-burks
29,470,Edmond Sumner,PG,IND,23,9.1,-2.98,-0.47,-3.45,-0.04,http://www.espn.com/nba/player/gamelog/_/id/3136485/edmond-sumner
30,471,Jacob Evans,SG,GS,30,6.8,-2.85,-0.64,-3.49,-0.05,http://www.espn.com/nba/player/gamelog/_/id/3934621/jacob-evans
31,472,JaMychal Green,PF,LAC/MEM,65,21.1,-1.86,-1.64,-3.50,-0.32,http://www.espn.com/nba/player/gamelog/_/id/2327577/jamychal-green
32,473,Dairis Bertans,SG,NO,12,13.9,-2.49,-1.02,-3.51,-0.04,http://www.espn.com/nba/player/gamelog/_/id/2585637/dairis-bertans
33,474,Wes Iwundu,SF,ORL,68,18.1,-3.67,0.13,-3.54,-0.31,http://www.espn.com/nba/player/gamelog/_/id/3074797/wes-iwundu
34,475,OG Anunoby,SF,TOR,67,20.2,-2.41,-1.14,-3.55,-0.36,http://www.espn.com/nba/player/gamelog/_/id/3934719/og-anunoby
35,476,Josh Jackson,SF,PHX,79,25.2,-2.24,-1.32,-3.56,-0.54,http://www.espn.com/nba/player/gamelog/_/id/4066297/josh-jackson
36,477,Rajon Rondo,PG,LAL,46,29.8,-2.21,-1.43,-3.64,-0.46,http://www.espn.com/nba/player/gamelog/_/id/3026/rajon-rondo
37,478,Wade Baldwin IV,G,POR,16,5.9,-2.58,-1.08,-3.66,-0.03,http://www.espn.com/nba/player/gamelog/_/id/3136696/wade-baldwin-iv
38,479,Marvin Bagley III,PF,SAC,62,25.3,-1.31,-2.35,-3.66,-0.55,http://www.espn.com/nba/player/gamelog/_/id/4277848/marvin-bagley-iii
39,480,Cameron Payne,G,CHI/CLE,40,17.8,-1.36,-2.36,-3.72,-0.27,http://www.espn.com/nba/player/gamelog/_/id/3064230/cameron-payne
0,481,Ian Clark,SG,NO,60,16.2,-1.74,-1.99,-3.73,-0.38,http://www.espn.com/nba/player/gamelog/_/id/2489785/ian-clark
1,482,Brandon Knight,PG,CLE/HOU,39,18.9,-2.44,-1.32,-3.76,-0.30,http://www.espn.com/nba/player/gamelog/_/id/6448/brandon-knight
2,483,Lance Thomas,SF,NY,46,17.0,-4.62,0.83,-3.79,-0.32,http://www.espn.com/nba/player/gamelog/_/id/6485/lance-thomas
3,484,Solomon Hill,SF,NO,44,20.0,-2.66,-1.13,-3.79,-0.37,http://www.espn.com/nba/player/gamelog/_/id/2488958/solomon-hill
4,485,Devonte' Graham,PG,CHA,46,14.7,-2.12,-1.68,-3.80,-0.29,http://www.espn.com/nba/player/gamelog/_/id/3133601/devonte'-graham
5,486,Quinn Cook,PG,GS,74,14.3,-0.48,-3.39,-3.87,-0.49,http://www.espn.com/nba/player/gamelog/_/id/2566745/quinn-cook
6,487,Dragan Bender,PF,PHX,46,18.0,-3.24,-0.69,-3.93,-0.41,http://www.espn.com/nba/player/gamelog/_/id/4011991/dragan-bender
7,488,Allonzo Trier,SG,NY,64,22.8,-1.71,-2.27,-3.98,-0.78,http://www.espn.com/nba/player/gamelog/_/id/3907525/allonzo-trier
8,489,Omari Spellman,PF,ATL,46,17.5,-2.30,-1.69,-3.99,-0.47,http://www.espn.com/nba/player/gamelog/_/id/4065836/omari-spellman
9,490,Cedi Osman,SF,CLE,76,32.2,-0.42,-3.60,-4.02,-1.39,http://www.espn.com/nba/player/gamelog/_/id/3893016/cedi-osman
10,491,Hamidou Diallo,SG,OKC,51,10.3,-2.67,-1.39,-4.06,-0.32,http://www.espn.com/nba/player/gamelog/_/id/4080610/hamidou-diallo
11,492,Abdel Nader,SF,OKC,61,11.4,-3.56,-0.67,-4.23,-0.50,http://www.espn.com/nba/player/gamelog/_/id/2595435/abdel-nader
12,493,Patrick Patterson,PF,OKC,63,13.7,-3.10,-1.14,-4.24,-0.63,http://www.espn.com/nba/player/gamelog/_/id/4264/patrick-patterson
13,494,Wesley Johnson,SF,NO/WSH,38,14.1,-3.65,-0.60,-4.25,-0.39,http://www.espn.com/nba/player/gamelog/_/id/4247/wesley-johnson
14,495,Cristiano Felicio,PF,CHI,60,12.4,-2.73,-1.59,-4.32,-0.54,http://www.espn.com/nba/player/gamelog/_/id/3113587/cristiano-felicio
15,496,Shelvin Mack,PG,MEM/CHA,57,21.9,-2.14,-2.26,-4.40,-0.97,http://www.espn.com/nba/player/gamelog/_/id/6454/shelvin-mack
16,497,Frank Mason III,PG,SAC,38,11.4,-2.22,-2.24,-4.46,-0.38,http://www.espn.com/nba/player/gamelog/_/id/3059315/frank-mason-iii
17,498,Frank Jackson,PG,NO,61,19.2,-1.96,-2.58,-4.54,-1.08,http://www.espn.com/nba/player/gamelog/_/id/4065651/frank-jackson
18,499,Mo Bamba,C,ORL,47,16.3,-4.34,-0.21,-4.55,-0.69,http://www.espn.com/nba/player/gamelog/_/id/4277919/mo-bamba
19,500,Jose Calderon,PG,DET,49,12.9,-3.59,-1.05,-4.64,-0.59,http://www.espn.com/nba/player/gamelog/_/id/2806/jose-calderon
20,501,Elie Okobo,PG,PHX,53,18.1,-3.00,-1.68,-4.68,-0.93,http://www.espn.com/nba/player/gamelog/_/id/4230550/elie-okobo
21,502,Will Barton,SG,DEN,43,27.7,-2.61,-2.23,-4.84,-1.29,http://www.espn.com/nba/player/gamelog/_/id/6579/will-barton
22,503,Jonathon Simmons,SF,ORL/PHI,56,19.0,-3.45,-1.53,-4.98,-1.26,http://www.espn.com/nba/player/gamelog/_/id/2579466/jonathon-simmons
23,504,Nik Stauskas,SG,CLE/POR,68,14.9,-2.14,-2.92,-5.06,-1.19,http://www.espn.com/nba/player/gamelog/_/id/2991042/nik-stauskas
24,505,Frank Ntilikina,PG,NY,43,21.0,-3.71,-1.37,-5.08,-1.15,http://www.espn.com/nba/player/gamelog/_/id/4230547/frank-ntilikina
25,506,Wayne Selden,SG,CHI/MEM,75,19.2,-2.17,-2.96,-5.13,-1.78,http://www.espn.com/nba/player/gamelog/_/id/3059316/wayne-selden
26,507,Timothe Luwawu-Cabarrot,SG,CHI/OKC,50,13.4,-3.26,-2.01,-5.27,-0.91,http://www.espn.com/nba/player/gamelog/_/id/3893019/timothe-luwawu-cabarrot
27,508,Collin Sexton,PG,CLE,82,31.8,-0.70,-4.64,-5.34,-3.64,http://www.espn.com/nba/player/gamelog/_/id/4277811/collin-sexton
28,509,Jerryd Bayless,PG,MIN,34,19.3,-2.55,-2.85,-5.40,-0.93,http://www.espn.com/nba/player/gamelog/_/id/3417/jerryd-bayless
29,510,Grayson Allen,SG,UTAH,38,10.9,-2.73,-2.72,-5.45,-0.63,http://www.espn.com/nba/player/gamelog/_/id/3135045/grayson-allen
30,511,Jamal Crawford,SG,PHX,64,18.9,-1.74,-3.92,-5.66,-1.94,http://www.espn.com/nba/player/gamelog/_/id/165/jamal-crawford
31,512,Marquese Chriss,PF,CLE/HOU,43,11.6,-4.26,-1.49,-5.75,-0.81,http://www.espn.com/nba/player/gamelog/_/id/3907487/marquese-chriss
32,513,Antonio Blakeney,SG,CHI,57,14.5,-2.64,-3.19,-5.83,-1.42,http://www.espn.com/nba/player/gamelog/_/id/3907386/antonio-blakeney
33,514,Kevin Knox,SF,NY,75,28.8,-3.01,-4.43,-7.44,-5.90,http://www.espn.com/nba/player/gamelog/_/id/4278075/kevin-knox
