,RK,NAME,POS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,GAME LOG PAGE
5,86,Luka Doncic,SF,DAL,72,32.2,2.34,-1.07,1.27,6.53,http://www.espn.com/nba/player/gamelog/_/id/3945274/luka-doncic
6,87,Mike Muscala,PF,LAL/PHI,64,20.4,-0.67,1.91,1.24,3.54,http://www.espn.com/nba/player/gamelog/_/id/2490089/mike-muscala
7,88,Otto Porter Jr.,SF,CHI/WSH,56,30.1,1.05,0.19,1.24,4.59,http://www.espn.com/nba/player/gamelog/_/id/2594922/otto-porter-jr.
8,89,Delon Wright,PG,TOR/MEM,75,22.7,1.00,0.22,1.22,4.56,http://www.espn.com/nba/player/gamelog/_/id/3064447/delon-wright
9,90,Jamal Murray,PG,DEN,75,32.6,2.39,-1.18,1.21,6.61,http://www.espn.com/nba/player/gamelog/_/id/3936299/jamal-murray
10,91,JJ Redick,SG,PHI,76,31.3,1.73,-0.54,1.19,6.66,http://www.espn.com/nba/player/gamelog/_/id/3024/jj-redick
11,92,D.J. Augustin,PG,ORL,81,28.0,2.03,-0.87,1.16,6.11,http://www.espn.com/nba/player/gamelog/_/id/3415/d.j.-augustin
12,93,Nene Hilario,C,HOU,42,13.0,-1.82,2.95,1.13,1.43,http://www.espn.com/nba/player/gamelog/_/id/1713/nene-hilario
13,94,Nerlens Noel,PF,OKC,77,13.7,-2.72,3.84,1.12,2.88,http://www.espn.com/nba/player/gamelog/_/id/2991280/nerlens-noel
14,95,Joakim Noah,C,MEM,42,16.5,-1.80,2.91,1.11,1.85,http://www.espn.com/nba/player/gamelog/_/id/3224/joakim-noah
15,96,Mason Plumlee,PF,DEN,82,21.1,-0.57,1.68,1.11,4.51,http://www.espn.com/nba/player/gamelog/_/id/2488653/mason-plumlee
16,97,Larry Nance Jr.,PF,CLE,67,26.8,0.12,0.98,1.10,4.78,http://www.espn.com/nba/player/gamelog/_/id/2580365/larry-nance-jr.
17,98,PJ Tucker,SF,HOU,82,34.2,-0.80,1.87,1.07,7.21,http://www.espn.com/nba/player/gamelog/_/id/3033/pj-tucker
18,99,CJ McCollum,SG,POR,70,33.9,2.14,-1.10,1.04,6.17,http://www.espn.com/nba/player/gamelog/_/id/2490149/cj-mccollum
19,100,Tyus Jones,PG,MIN,68,22.9,0.34,0.68,1.02,4.10,http://www.espn.com/nba/player/gamelog/_/id/3135046/tyus-jones
20,101,Danuel House Jr.,SF,HOU,39,25.1,1.20,-0.20,1.00,2.49,http://www.espn.com/nba/player/gamelog/_/id/2991155/danuel-house-jr.
21,102,Thomas Bryant,C,WSH,72,20.8,-0.02,1.00,0.98,3.76,http://www.espn.com/nba/player/gamelog/_/id/3934723/thomas-bryant
22,103,Darren Collison,PG,IND,76,28.2,1.38,-0.42,0.96,5.48,http://www.espn.com/nba/player/gamelog/_/id/3973/darren-collison
23,104,Boban Marjanovic,C,LAC/PHI,58,11.7,-0.73,1.69,0.96,1.82,http://www.espn.com/nba/player/gamelog/_/id/4376/boban-marjanovic
24,105,Jakob Poeltl,C,SA,77,16.5,-0.44,1.37,0.93,3.27,http://www.espn.com/nba/player/gamelog/_/id/3134908/jakob-poeltl
25,106,Cory Joseph,PG,IND,82,25.2,-0.64,1.53,0.89,5.15,http://www.espn.com/nba/player/gamelog/_/id/6446/cory-joseph
26,107,Aaron Gordon,PF,ORL,78,33.8,0.07,0.79,0.86,6.51,http://www.espn.com/nba/player/gamelog/_/id/3064290/aaron-gordon
